# 미국 실질 주택가격 지수 (1890=100) · Robert Shiller, Irrational Exuberance Fig 3-1 · 2026-08-23
# ⚠ 이미 물가를 뺀 «실질» 계열이다. 다른 실질 수익률과 바로 견줄 수 있다.
#   1953년 이전은 연 단위 자료를 그해 1월에 놓았다. 월별은 그 뒤부터다.
date,real_index
1965-05,108.916
1965-06,108.226
1965-07,108.451
1965-08,108.451
1965-09,108.451
1965-10,108.779
1965-11,109.338
1965-12,109.329
1966-01,109.663
1966-02,108.756
1966-03,108.417
1966-04,107.856
1966-05,108.075
1966-06,107.96
1966-07,107.737
1966-08,106.753
1966-09,106.753
1966-10,106.535
1966-11,106.535
1966-12,106.966
1967-01,106.966
1967-02,106.966
1967-03,105.89
1967-04,105.998
1967-05,106.32
1967-06,106.213
1967-07,105.895
1967-08,106.214
1967-09,105.898
1967-10,106.004
1967-11,106.005
1967-12,106.215
1968-01,105.488
1968-02,105.698
1968-03,105.183
1968-04,104.877
1968-05,104.265
1968-06,104.481
1968-07,104.289
1968-08,104.295
1968-09,103.997
1968-10,104.111
1968-11,105.018
1968-12,105.621
1969-01,105.822
1969-02,105.726
1969-03,105.731
1969-04,105.246
1969-05,105.443
1969-06,105.158
1969-07,105.549
1969-08,105.649
1969-09,106.129
1969-10,106.415
1969-11,106.32
1969-12,106.414
1970-01,107.163
1970-02,107.346
1970-03,107.34
1970-04,106.964
1970-05,107.513
1970-06,107.69
1970-07,107.41
1970-08,108.41
1970-09,108.941
1970-10,108.928
1970-11,109.004
1970-12,109.08
1971-01,109.347
1971-02,108.807
1971-03,108.535
1971-04,108.618
1971-05,108.87
1971-06,109.2
1971-07,109.106
1971-08,109.186
1971-09,109.447
1971-10,109.526
1971-11,110.392
1971-12,110.114
1972-01,110.459
1972-02,110.181
1972-03,109.829
1972-04,109.736
1972-05,109.813
1972-06,110.229
1972-07,110.803
1972-08,110.961
1972-09,110.613
1972-10,110.006
1972-11,109.83
1972-12,109.655
1973-01,109.148
1973-02,108.385
1973-03,107.466
1973-04,106.726
1973-05,106.239
1973-06,105.758
1973-07,105.44
1973-08,104.512
1973-09,104.673
1973-10,104.532
1973-11,104.312
1973-12,104.325
1974-01,104.266
1974-02,103.767
1974-03,103.576
1974-04,103.514
1974-05,102.746
1974-06,102.486
1974-07,102.159
1974-08,101.854
1974-09,101.627
1974-10,101.465
1974-11,101.434
1974-12,102.223
1975-01,103.775
1975-02,103.151
1975-03,103.003
1975-04,102.764
1975-05,102.486
1975-06,101.669
1975-07,101.116
1975-08,101.541
1975-09,101.986
1975-10,102.142
1975-11,102.092
1975-12,102.067
1976-01,102.361
1976-02,102.247
1976-03,102.929
1976-04,103.538
1976-05,103.961
1976-06,103.705
1976-07,104.037
1976-08,104.179
1976-09,104.564
1976-10,104.359
1976-11,104.78
1976-12,105.292
1977-01,105.637
1977-02,105.799
1977-03,106.584
1977-04,107.564
1977-05,108.346
1977-06,108.435
1977-07,109.01
1977-08,109.756
1977-09,110.841
1977-10,111.884
1977-11,112.493
1977-12,113.14
1978-01,113.543
1978-02,114.083
1978-03,114.759
1978-04,115.351
1978-05,115.851
1978-06,116.33
1978-07,117.07
1978-08,118.077
1978-09,118.425
1978-10,118.511
1978-11,119.228
1978-12,120.1
1979-01,120.621
1979-02,120.717
1979-03,121.1
1979-04,121.286
1979-05,121.321
1979-06,121.5
1979-07,121.514
1979-08,121.57
1979-09,121.282
1979-10,121.376
1979-11,121.116
1979-12,120.575
1980-01,119.478
1980-02,118.499
1980-03,117.72
1980-04,117.505
1980-05,117.18
1980-06,116.609
1980-07,117.419
1980-08,117.256
1980-09,116.837
1980-10,116.196
1980-11,115.703
1980-12,115.089
1981-01,114.525
1981-02,113.815
1981-03,113.715
1981-04,113.953
1981-05,113.849
1981-06,113.573
1981-07,112.913
1981-08,112.631
1981-09,111.753
1981-10,111.66
1981-11,111.309
1981-12,111.045
1982-01,110.767
1982-02,110.594
1982-03,110.648
1982-04,110.323
1982-05,109.428
1982-06,108.067
1982-07,107.485
1982-08,107.219
1982-09,107.037
1982-10,106.708
1982-11,106.932
1982-12,107.552
1983-01,107.693
1983-02,108.143
1983-03,108.593
1983-04,108.378
1983-05,108.263
1983-06,108.466
1983-07,108.649
1983-08,108.804
1983-09,108.552
1983-10,108.436
1983-11,108.369
1983-12,108.545
1984-01,108.223
