일자,기관_순매수_원,개인_순매수_원,외국인_순매수_원,기타법인_순매수_원
2024-04-01,24728156407,-314919033116,268285750445,21905126264
2024-04-02,-348363309392,-627120735958,1006443887311,-30959841961
2024-04-03,-674598846463,677665988602,3413056490,-6480198629
2024-04-04,-14666134853,-564018835153,587525071540,-8840101534
2024-04-05,-470201520392,613622254364,-115360818885,-28059915087
2024-04-08,-112531115902,-93335963366,206401758298,-534679030
2024-04-09,-313183331695,-18279171296,306914959544,24547543447
2024-04-11,-1080260606349,31121208737,1062811046121,-13671648509
2024-04-12,-628447832356,590888631730,16642215601,20916985025
2024-04-15,-26670786908,244281204894,-238736895388,21126477402
2024-04-16,-236385439990,494345426497,-267774831203,9814844696
2024-04-17,-213859497938,360123439092,-165070305842,18806364688
2024-04-18,24653829001,-604754715811,574231776236,5869110574
2024-04-19,-667219591377,924518037720,-343622144402,86323698059
2024-04-22,783550352926,-58289701400,-749501327049,24240675523
2024-04-23,86531859901,203894130463,-24720626213,-265705364151
2024-04-24,362319323719,-866210490512,489047921997,14843244796
2024-04-25,-507126243200,836868237077,-284451725729,-45290268148
2024-04-26,68383583686,-561532306772,470446523078,22702200008
2024-04-29,330806172961,-692179915671,342248973706,19124769004
2024-04-30,283563451333,-529781204264,241205355673,5012397258
2024-05-02,-141785578589,145396843591,6348943232,-9960208234
2024-05-03,-6485441377,-118157047298,89816766097,34825722578
2024-05-07,774765274188,-1840380841179,1107283187463,-41667620472
2024-05-08,41134398071,-404373749308,399580748740,-36341397503
2024-05-09,-69130702258,414034756954,-354634955371,9730900675
2024-05-10,355503191394,-488717359353,148201212019,-14987044060
2024-05-13,16990075437,-17574848948,17496585656,-16911812145
2024-05-14,122643662844,-190807694936,80109242962,-11945210870
2024-05-16,593789205669,-964779168576,425869418632,-54879455725
2024-05-17,-149625651882,719386315032,-240947414458,-328813248692
2024-05-20,396663307831,-371968515201,-16860454939,-7834337691
2024-05-21,-327244512855,500155148331,-105786409280,-67124226196
2024-05-22,-33004053106,-264655909973,296794681065,865282014
2024-05-23,-371055667018,-15925270152,356730461580,30250475590
2024-05-24,-922091932144,1240624051727,-308015606256,-10516513327
2024-05-27,325928135636,-175991264562,-141030525725,-8906345349
2024-05-28,119562079303,-153566604326,45320642464,-11316117441
2024-05-29,-258165987157,1272412768705,-1022023805644,7777024096
2024-05-30,-447740007232,1190684879313,-777611930364,34667058283
2024-05-31,1065402833699,281198129004,-1339926320646,-6674642057
2024-06-03,233850074757,-423020604535,182825716466,6344813312
2024-06-04,-316037351589,516732180593,-203754825790,3059996786
2024-06-05,-259625396366,-330579521499,590086420293,118497572
2024-06-07,158196938516,-471534150374,287289126357,26048085501
2024-06-10,-566989066161,556561083059,17914870818,-7486887716
2024-06-11,-118424463015,343628522736,-223451990243,-1752069478
2024-06-12,9875812280,-242976061851,235948295664,-2848046093
2024-06-13,-105500000974,-1407226804827,1538714211035,-25987405234
2024-06-14,-467226655929,-213615185924,729520056439,-48678214586
2024-06-17,-139841286505,313127613014,-137360147446,-35926179063
2024-06-18,-224025144340,-342793093577,651082889627,-84264651710
2024-06-19,549329338465,-751003482345,273595308123,-71921164243
2024-06-20,165375865951,-584548289495,494062977049,-74890553505
2024-06-21,-27985802991,379108807991,-340324269766,-10798735234
2024-06-24,45731146521,467342664201,-528888575779,15814765057
2024-06-25,243423681516,-297252413252,58999284455,-5170552719
2024-06-26,-304986695243,-155655785247,433496897099,27145583391
2024-06-27,-771142734637,254733099658,515565137607,844497372
2024-06-28,240486036446,-284726571263,29510279949,14730254868
2024-07-01,54165331598,-7621256353,-64175374926,17631299681
2024-07-02,-351311743383,393176814863,-30116487666,-11748583814
2024-07-03,180002050997,-260201999254,100726518495,-20526570238
2024-07-04,1110552657028,-1416737837166,322009945181,-15824765043
2024-07-05,1256018879130,-2514725846194,1308636597977,-49929630913
