# 국제 금 **현물** 시세 (USD/트로이온스, 일별) · XAU/USD
#   창구 — investing.com API(instrumentId 68). scripts/gold_spot.py 가 만든다.
#   ⚠ 직접 HTTP 는 403 이라 **Aside 브라우저**로만 받는다. cron 에서 못 돈다.
#   ⚠ **1985년 이전은 종가만 믿는다** — 시·고·저가 종가 복사다.
#      실측 flat 비율: 1980~84 100% · 1985~89 29% · 1990~94 3% · 1995~ 2%.
#      이 파일 전체 flat 비율 14.5%.
#   ⚠ 월별(금가격_월별_1833)은 현물, 일별(금가격_일별)은 COMEX 선물이다.
#      선물은 콘탱고로 현물보다 중앙 +0.5% 높다. 셋을 섞어 쓰지 않는다.
date,open,high,low,close
1986-05-30,340.40,339.98,339.98,339.98
1986-06-02,340.40,338.42,338.42,338.42
1986-06-03,339.98,338.94,338.94,338.94
1986-06-04,338.94,337.59,337.59,337.59
1986-06-05,338.94,338.42,338.42,338.42
1986-06-06,338.94,338.42,338.42,338.42
1986-06-09,338.94,338.42,338.42,338.42
1986-06-10,346.64,345.49,345.49,345.49
1986-06-11,345.49,344.45,344.45,344.45
1986-06-12,346.64,343.52,343.52,343.52
1986-06-13,344.97,344.45,344.45,344.45
1986-06-16,343.52,335.93,335.93,335.93
1986-06-17,334.89,333.33,333.33,333.33
1986-06-18,336.65,336.65,336.65,336.65
1986-06-19,337.59,336.65,336.65,336.65
1986-06-20,337.59,336.65,336.65,336.65
1986-06-23,338.42,337.59,337.59,337.59
1986-06-24,339.98,339.98,339.98,339.98
1986-06-25,341.96,341.13,341.13,341.13
1986-06-26,342.58,341.96,341.96,341.96
1986-06-27,341.96,340.40,340.40,340.40
1986-06-30,344.45,343.52,343.52,343.52
1986-07-01,343.41,341.96,341.96,341.96
1986-07-02,341.96,339.98,339.98,339.98
1986-07-03,340.40,340.40,340.40,340.40
1986-07-04,340.40,340.40,340.40,340.40
1986-07-07,342.06,341.85,341.85,341.85
1986-07-08,344.97,343.93,343.93,343.93
1986-07-09,348.40,343.93,343.93,343.93
1986-07-10,345.49,343.52,343.52,343.52
1986-07-11,344.97,344.97,344.97,344.97
1986-07-14,343.52,342.58,342.58,342.58
1986-07-15,344.45,344.45,344.45,344.45
1986-07-16,346.64,343.93,343.93,343.93
1986-07-17,344.97,344.45,344.45,344.45
1986-07-18,347.47,344.97,344.97,344.97
1986-07-21,352.88,351.00,351.00,351.00
1986-07-22,351.00,350.49,350.49,350.49
1986-07-23,349.24,344.45,344.45,344.45
1986-07-24,346.22,345.49,345.49,345.49
1986-07-25,346.64,346.22,346.22,346.22
1986-07-28,351.63,350.49,350.49,350.49
1986-07-29,351.63,348.40,348.40,348.40
1986-07-30,349.24,348.40,348.40,348.40
1986-07-31,357.04,354.64,354.64,354.64
1986-08-01,358.80,358.80,358.80,358.80
1986-08-04,358.80,356.83,356.83,356.83
1986-08-05,356.31,355.68,355.68,355.68
1986-08-06,359.53,358.80,358.80,358.80
1986-08-07,360.57,359.12,359.12,359.12
1986-08-08,367.85,366.08,366.08,366.08
1986-08-11,392.80,385.00,385.00,385.00
1986-08-12,388.54,381.68,381.68,381.68
1986-08-13,389.48,388.54,388.54,388.54
1986-08-14,383.24,382.51,382.51,382.51
1986-08-15,385.84,382.51,382.51,382.51
1986-08-18,379.91,374.71,374.71,374.71
1986-08-19,372.63,372.11,372.11,372.11
1986-08-20,377.42,375.65,375.65,375.65
1986-08-21,382.30,381.68,381.68,381.68
1986-08-22,386.25,379.39,379.39,379.39
1986-08-26,380.22,378.14,378.14,378.14
1986-08-27,378.87,378.04,378.04,378.04
1986-08-28,385.32,383.24,383.24,383.24
