일자,시장,종목수,상승,하락,하락비율,급락비율
20260319,코스닥,1680,425,1255,74.7,6.67
20260319,코스피,886,206,680,76.75,2.48
20260320,코스닥,1679,1216,463,27.58,2.86
20260320,코스피,904,745,159,17.59,1.55
20260323,코스닥,1709,183,1526,89.29,35.93
20260323,코스피,917,53,864,94.22,35.55
20260324,코스닥,1674,1239,435,25.99,4.9
20260324,코스피,899,707,192,21.36,3.11
20260325,코스닥,1683,1311,372,22.1,1.66
20260325,코스피,885,719,166,18.76,1.13
20260326,코스닥,1682,379,1303,77.47,14.03
20260326,코스피,892,230,662,74.22,6.05
20260327,코스닥,1633,863,770,47.15,3.12
20260327,코스피,881,437,444,50.4,3.06
20260330,코스닥,1689,382,1307,77.38,14.86
20260330,코스피,907,155,752,82.91,11.58
20260331,코스닥,1690,228,1462,86.51,18.88
20260331,코스피,910,117,793,87.14,11.43
20260401,코스닥,1710,1552,158,9.24,1.29
20260401,코스피,911,840,71,7.79,1.32
20260402,코스닥,1720,148,1572,91.4,36.69
20260402,코스피,908,91,817,89.98,23.02
20260403,코스닥,1663,1185,478,28.74,2.22
20260403,코스피,892,666,226,25.34,0.78
20260406,코스닥,1682,567,1115,66.29,6.42
20260406,코스피,869,352,517,59.49,3.11
20260407,코스닥,1644,531,1113,67.7,7.12
20260407,코스피,867,287,580,66.9,4.04
20260408,코스닥,1673,1429,244,14.58,2.63
20260408,코스피,891,784,107,12.01,1.91
20260409,코스닥,1644,530,1114,67.76,5.6
20260409,코스피,868,357,511,58.87,2.42
20260410,코스닥,1646,1340,306,18.59,1.34
20260410,코스피,883,719,164,18.57,0.68
20260413,코스닥,1605,839,766,47.73,2.43
20260413,코스피,871,345,526,60.39,2.53
20260414,코스닥,1611,1284,327,20.3,1.55
20260414,코스피,870,671,199,22.87,1.03
20260415,코스닥,1617,1155,462,28.57,1.79
20260415,코스피,847,571,276,32.59,1.65
20260416,코스닥,1609,1146,463,28.78,4.23
20260416,코스피,864,657,207,23.96,1.39
20260417,코스닥,1596,907,689,43.17,3.82
20260417,코스피,856,466,390,45.56,2.22
20260420,코스닥,1595,663,932,58.43,2.76
20260420,코스피,857,322,535,62.43,1.63
20260421,코스닥,1588,624,964,60.71,6.93
20260421,코스피,867,457,410,47.29,1.96
20260422,코스닥,1589,720,869,54.69,3.46
20260422,코스피,864,398,466,53.94,0.93
20260423,코스닥,1600,529,1071,66.94,7.38
