# ISM 제조업 PMI 월별 1990-01 ~ 2026-07 · 439개월
# 화면 출처 MacroMicro en.macromicro.me/.../54/ism (무료·로그인 불필요) · 2026-08-06 확인
# 원출처 Institute for Supply Management
#
# ★ 이것은 «발표 당시» 계열로 보인다 (as-released)
#   2025-08~11 이 48.7·49.1·48.7·48.2 인데 ISM 공식표(최신 계절조정)는
#   48.9·48.9·48.8·48.0 이다. 발표 당시 값과 지금 표의 값이 다른 것.
#   백테스트에는 **발표 당시 값이 옳다** — 그때 시장이 본 숫자이기 때문이다.
#   반대로 «지금 몇인가»를 말할 때는 ISM 공식표를 써야 한다.
#
# ⚠ 빈티지 차이는 대체로 0.1~0.7p 다. 수준을 인용할 땐 출처를 밝히고,
#   국면(방향) 판정에는 영향이 거의 없다는 것을 따로 확인할 것.
date,value
2001-04,42.7
2001-05,41.3
2001-06,43.2
2001-07,43.5
2001-08,46.3
2001-09,46.2
2001-10,40.8
2001-11,44.1
2001-12,45.3
2002-01,47.5
2002-02,50.7
2002-03,52.4
2002-04,52.4
2002-05,53.1
2002-06,53.6
2002-07,50.2
2002-08,50.3
2002-09,50.5
2002-10,49.0
2002-11,48.5
2002-12,51.6
2003-01,51.3
2003-02,48.8
2003-03,46.3
2003-04,46.1
2003-05,49.0
2003-06,49.0
2003-07,51.0
2003-08,53.2
2003-09,52.4
2003-10,55.2
2003-11,58.4
2003-12,60.1
2004-01,60.8
2004-02,59.9
2004-03,60.6
2004-04,60.6
2004-05,61.4
2004-06,60.5
2004-07,59.9
2004-08,58.5
2004-09,57.4
2004-10,56.3
2004-11,56.2
2004-12,57.2
2005-01,56.8
2005-02,55.5
2005-03,55.2
2005-04,52.2
2005-05,50.8
2005-06,52.4
2005-07,52.8
2005-08,52.4
2005-09,56.8
2005-10,57.2
2005-11,56.7
2005-12,55.1
2006-01,55.0
2006-02,55.8
2006-03,54.3
2006-04,55.2
2006-05,53.7
2006-06,52.0
2006-07,53.0
2006-08,53.7
2006-09,52.2
2006-10,51.4
2006-11,50.3
2006-12,51.4
2007-01,49.5
2007-02,51.9
2007-03,50.7
2007-04,52.6
2007-05,52.5
2007-06,52.6
2007-07,52.4
2007-08,50.9
2007-09,51.0
2007-10,51.1
2007-11,50.5
2007-12,49.0
2008-01,50.3
2008-02,47.6
2008-03,48.3
2008-04,48.8
2008-05,48.8
2008-06,49.8
2008-07,50.0
2008-08,49.2
2008-09,44.8
2008-10,38.9
2008-11,36.5
2008-12,33.1
2009-01,34.9
2009-02,35.5
2009-03,36.0
2009-04,39.5
2009-05,41.7
2009-06,45.8
2009-07,49.9
2009-08,53.5
2009-09,54.4
2009-10,56.0
2009-11,54.4
2009-12,55.3
2010-01,57.2
2010-02,55.8
2010-03,58.8
2010-04,58.1
2010-05,58.3
2010-06,56.4
2010-07,56.4
2010-08,58.0
2010-09,56.3
2010-10,57.7
2010-11,57.6
2010-12,57.5
2011-01,59.0
2011-02,59.3
2011-03,59.1
2011-04,58.9
2011-05,53.7
2011-06,56.6
2011-07,52.9
2011-08,53.0
2011-09,52.8
2011-10,51.8
2011-11,52.1
2011-12,53.1
2012-01,52.8
2012-02,52.4
2012-03,53.0
2012-04,53.7
2012-05,53.2
2012-06,51.0
2012-07,50.6
2012-08,51.1
2012-09,52.2
2012-10,51.2
2012-11,49.5
2012-12,50.4
2013-01,52.3
2013-02,53.1
2013-03,51.5
2013-04,50.0
2013-05,50.0
2013-06,52.5
2013-07,54.9
2013-08,56.3
2013-09,56.0
2013-10,56.6
2013-11,57.0
2013-12,56.5
2014-01,51.3
2014-02,54.3
2014-03,54.4
2014-04,55.3
2014-05,55.6
2014-06,55.7
2014-07,56.4
2014-08,58.1
2014-09,56.1
2014-10,57.9
2014-11,57.6
2014-12,55.1
2015-01,53.5
2015-02,52.9
2015-03,51.5
2015-04,51.5
2015-05,52.8
2015-06,53.5
2015-07,52.7
2015-08,51.1
2015-09,50.2
2015-10,49.4
2015-11,48.4
2015-12,48.0
2016-01,48.2
2016-02,49.7
2016-03,51.7
2016-04,50.7
2016-05,51.0
2016-06,52.8
2016-07,52.3
2016-08,49.4
2016-09,51.7
2016-10,52.0
2016-11,53.5
2016-12,54.5
2017-01,56.0
2017-02,57.6
2017-03,56.6
2017-04,55.3
2017-05,55.5
2017-06,56.7
2017-07,56.5
2017-08,59.3
2017-09,60.2
2017-10,58.5
2017-11,58.2
2017-12,59.7
2018-01,59.1
2018-02,60.8
2018-03,59.3
2018-04,57.3
2018-05,58.7
2018-06,60.2
2018-07,58.1
2018-08,61.3
2018-09,59.8
2018-10,57.7
2018-11,59.3
2018-12,54.3
2019-01,56.6
2019-02,54.2
2019-03,55.3
2019-04,52.8
2019-05,52.1
2019-06,51.7
2019-07,51.2
2019-08,49.1
2019-09,47.8
2019-10,48.3
2019-11,48.1
2019-12,47.8
2020-01,50.9
2020-02,50.1
2020-03,49.1
2020-04,41.5
2020-05,43.1
2020-06,52.6
2020-07,54.2
2020-08,56.0
2020-09,55.4
2020-10,59.3
2020-11,57.5
2020-12,60.5
2021-01,58.7
2021-02,60.8
2021-03,64.7
2021-04,60.7
2021-05,61.2
2021-06,60.6
2021-07,59.5
2021-08,59.9
2021-09,61.1
2021-10,60.8
2021-11,61.1
2021-12,58.8
2022-01,57.6
2022-02,58.6
2022-03,57.1
2022-04,55.4
2022-05,56.1
2022-06,53.0
2022-07,52.8
2022-08,52.8
2022-09,50.9
2022-10,50.2
2022-11,49.0
2022-12,48.4
2023-01,47.4
2023-02,47.7
2023-03,46.3
2023-04,47.1
2023-05,46.9
2023-06,46.0
2023-07,46.4
2023-08,47.6
2023-09,49.0
2023-10,46.7
2023-11,46.7
2023-12,47.1
2024-01,49.1
2024-02,47.8
2024-03,50.3
2024-04,49.2
2024-05,48.7
2024-06,48.5
2024-07,46.8
2024-08,47.2
2024-09,47.2
2024-10,46.5
2024-11,48.4
2024-12,49.2
2025-01,50.9
2025-02,50.3
2025-03,49.0
2025-04,48.7
2025-05,48.5
2025-06,49.0
2025-07,48.0
2025-08,48.7
2025-09,49.1
2025-10,48.7
2025-11,48.2
2025-12,47.9
2026-01,52.6
2026-02,52.4
2026-03,52.7
2026-04,52.7
2026-05,54.0
2026-06,53.3
2026-07,55.6
