# 비트코인 일별 — 업비트 **KRW/BTC**. scripts/crypto_daily.py 가 만든다.
# ⚠⚠ **원화다. 달러가 아니다.** 환율로 곱해도 글로벌 달러 가격과 다르다 —
#   국내 프리미엄이 얹혀 있다. 달러 기준 수준(예: «6만 5,100달러»)을
#   말할 때 이 파일을 쓰지 말 것. 방향과 등락률에만 쓴다.
# ⚠ 창구가 짧을 수 있어 **덮어쓰지 않고 합친다.**
date,open,high,low,close,volume
2025-04-06,123255000,123500000,115542000,117517000,2831.64741137
2025-04-07,117517000,121149000,111659000,118061000,6659.42771804
2025-04-08,118062000,120239000,114360000,114489000,2416.29680041
2025-04-09,114497000,123168000,112549000,121339000,4828.55384549
2025-04-10,121339000,122300000,116687000,117936000,2203.34501763
2025-04-11,117929000,122333000,116910000,121450000,2018.05949266
2025-04-12,121450000,123973000,120616000,123551000,1352.17579839
2025-04-13,123577000,124520000,120859000,121577000,1527.22344963
2025-04-14,121577000,124000000,121504000,122694000,1604.44213702
2025-04-15,122694000,125120000,122116000,122158000,1617.12801646
2025-04-16,122154000,123570000,121200000,121850000,1433.79142248
2025-04-17,121850000,123220000,121502000,122700000,821.5976836
2025-04-18,122669000,122916000,122255000,122288000,447.20874424
2025-04-19,122288000,123500000,122110000,122720000,586.55690942
2025-04-20,122720000,123135000,121571000,122746000,825.23199678
2025-04-21,122746000,126660000,122690000,126237000,2230.90628933
2025-04-22,126200000,134397000,125550000,133855000,3400.6870884
2025-04-23,133856000,135413000,131570000,134373000,2892.60374306
2025-04-24,134373000,134710000,132028000,134650000,1755.00844477
2025-04-25,134641000,137869000,133857000,136416000,2131.27877132
2025-04-26,136557000,137140000,135300000,136499000,1034.47745671
2025-04-27,136525000,137400000,135150000,135150000,929.8213467
2025-04-28,135160000,137558000,133720000,136816000,1844.74732502
2025-04-29,136820000,137498000,135700000,136310000,1398.46508705
2025-04-30,136310000,136873000,134138000,136050000,1349.97619022
2025-05-01,136148000,140037000,136002000,139145000,1872.70438053
2025-05-02,139145000,140516000,137799000,138636000,1511.05273224
2025-05-03,138640000,138750000,137153000,137560000,726.54346242
2025-05-04,137598000,138080000,135582000,135652000,768.78311728
2025-05-05,135677000,136392000,132900000,134890000,1493.85349883
2025-05-06,134890000,137800000,133061000,137400000,1259.35463429
2025-05-07,137351000,138282000,136050000,137660000,1449.40587598
2025-05-08,137680000,145000000,137402000,144780000,3313.00582741
2025-05-09,144688000,146200000,143500000,143720000,2164.93136988
2025-05-10,143726000,145315000,143500000,144964000,1373.30714711
2025-05-11,144982000,146495000,144037000,145510000,1522.93450375
2025-05-12,145510000,147300000,142532000,144875000,2749.6179161
2025-05-13,144875000,146644000,143500000,145880000,1734.89816911
2025-05-14,145965000,146430000,144249000,145718000,1289.62687941
2025-05-15,145793000,146639000,143634000,146026000,1919.98902481
2025-05-16,146030000,147117000,145570000,146465000,1431.16035226
2025-05-17,146465000,146828000,145770000,146555000,961.68738842
2025-05-18,146580000,150600000,146555000,150458000,1989.80091526
2025-05-19,150296000,151199000,145500000,148699000,2536.96829107
2025-05-20,148700000,150990000,147743000,150424000,2056.48087294
2025-05-21,150424000,153301000,148810000,152356000,3244.77476836
2025-05-22,152356000,155323000,152070000,154861000,2821.93295751
2025-05-23,154861000,155169000,149258000,149878000,3301.84859609
2025-05-24,149962000,152700000,149422000,150660000,1178.23083653
2025-05-25,150680000,152946000,149916000,152133000,1078.44364401
2025-05-26,152133000,153000000,151509000,152195000,1099.73478784
2025-05-27,152197000,153218000,150001000,151323000,1774.65187847
2025-05-28,151323000,151608000,149520000,150280000,1258.07499699
2025-05-29,150280000,151291000,147160000,147370000,1830.02066115
2025-05-30,147370000,149000000,146300000,147044000,2298.29842596
2025-05-31,147044000,148700000,146042000,147932000,1209.42760002
2025-06-01,147932000,149502000,147000000,149100000,874.59185534
2025-06-02,149102000,149166000,146209000,148074000,1321.17070234
2025-06-03,148070000,148900000,147022000,147322000,1087.01105855
2025-06-04,147378000,147601000,145200000,145210000,1204.31063771
2025-06-05,145218000,146487000,140399000,141588000,2650.80086181
2025-06-06,141588000,146120000,140862000,145196000,1405.63970641
2025-06-07,145196000,146895000,144601000,146514000,701.74782498
2025-06-08,146540000,146796000,145196000,145799000,662.255613
2025-06-09,145801000,150600000,144900000,150330000,1740.32468211
2025-06-10,150330000,150992000,149060000,150604000,1495.42596773
2025-06-11,150628000,151400000,148999000,149702000,1207.74913167
2025-06-12,149710000,149840000,145801000,145801000,1713.92615788
2025-06-13,145811000,147340000,143000000,147266000,2314.74964227
2025-06-14,147265000,147526000,145082000,146401000,685.50929028
2025-06-15,146401000,147100000,145220000,145997000,688.44094474
2025-06-16,145998000,149303000,145250000,146673000,1550.94834639
2025-06-17,146661000,147957000,143900000,145456000,1534.6426481
2025-06-18,145456000,146128000,144150000,145380000,979.09683844
2025-06-19,145381000,146000000,144500000,144978000,804.24805973
2025-06-20,144979000,146930000,143107000,143956000,1417.88766141
2025-06-21,143956000,144427000,141151000,142782000,1176.32871227
2025-06-22,142811000,144825000,137127000,140908000,3427.48999522
2025-06-23,140908000,147101000,139698000,146182000,2585.56556993
2025-06-24,146180000,146387000,144222000,145625000,1398.08186776
2025-06-25,145626000,148620000,145360000,147365000,1451.35658492
2025-06-26,147365000,148205000,146500000,146852000,1072.4251918
2025-06-27,146868000,147628000,146000000,147058000,881.15026809
2025-06-28,147001000,147479000,146799000,147174000,367.95895603
2025-06-29,147174000,148502000,147091000,147996000,746.62583828
2025-06-30,147996000,148480000,145740000,145759000,1025.51490989
2025-07-01,145759000,146678000,144710000,145019000,1017.00286589
2025-07-02,145019000,148930000,144265000,147372000,1477.17680207
2025-07-03,147372000,149755000,147364000,148737000,1290.95630265
2025-07-04,148737000,149360000,146929000,147797000,915.83288905
2025-07-05,147798000,148400000,147655000,148197000,355.1103098
2025-07-06,148197000,149100000,147411000,148500000,672.00685084
2025-07-07,148500000,149100000,147196000,148100000,947.64724757
2025-07-08,148100000,148890000,147100000,148302000,769.61727441
2025-07-09,148302000,151479000,148000000,150701000,1638.67925067
2025-07-10,150750000,156960000,150200000,156519000,2768.63374905
2025-07-11,156517000,160744000,155000000,158187000,3456.21428386
2025-07-12,158187000,159952000,157200000,159681000,1138.31129365
2025-07-13,159683000,161754000,159450000,161740000,1339.29139444
2025-07-14,161740000,166798000,161357000,163923000,3684.07185862
2025-07-15,163923000,164010000,158658000,160811000,3276.2755269
2025-07-16,160811000,163210000,160175000,161250000,1980.22072126
2025-07-17,161246000,163955000,160002000,162232000,2371.74954751
2025-07-18,162232000,164446000,159301000,161100000,2870.43054777
2025-07-19,161098000,162470000,160788000,161428000,949.21876207
2025-07-20,161428000,162000000,159726000,160072000,1530.77015722
