연월,국고3년,회사채AA-,회사채BBB-,AA스프레드,BBB스프레드
2010-05,3.6,4.47,10.5,0.87,6.9
2010-06,3.87,4.77,10.72,0.9,6.85
2010-07,3.8,4.75,10.7,0.95,6.9
2010-08,3.55,4.52,10.46,0.97,6.91
2010-09,3.33,4.26,10.19,0.93,6.86
2010-10,3.24,4.02,10.12,0.78,6.88
2010-11,3.21,4.04,10.12,0.83,6.91
2010-12,3.38,4.27,10.26,0.89,6.88
2011-01,3.93,4.7,10.7,0.77,6.77
2011-02,3.81,4.6,10.63,0.79,6.82
2011-03,3.7,4.49,10.54,0.79,6.84
2011-04,3.75,4.55,10.59,0.8,6.84
2011-05,3.58,4.31,10.41,0.73,6.83
2011-06,3.79,4.52,10.52,0.73,6.73
2011-07,3.83,4.52,10.52,0.69,6.69
2011-08,3.48,4.22,10.18,0.74,6.7
2011-09,3.55,4.36,10.3,0.81,6.75
2011-10,3.53,4.37,10.28,0.84,6.75
2011-11,3.41,4.25,10.05,0.84,6.64
2011-12,3.34,4.21,10.01,0.87,6.67
2012-01,3.36,4.23,10.01,0.87,6.65
2012-02,3.44,4.25,10.01,0.81,6.57
2012-03,3.56,4.36,10.07,0.8,6.51
2012-04,3.46,4.15,9.81,0.69,6.35
2012-05,3.32,3.92,9.55,0.6,6.23
2012-06,3.28,3.85,9.46,0.57,6.18
2012-07,2.85,3.44,8.99,0.59,6.14
2012-08,2.76,3.27,8.61,0.51,5.85
2012-09,2.8,3.31,8.69,0.51,5.89
2012-10,2.77,3.29,8.68,0.52,5.91
2012-11,2.83,3.36,8.74,0.53,5.91
2012-12,2.82,3.29,8.8,0.47,5.98
2013-01,2.76,3.13,8.71,0.37,5.95
2013-02,2.63,2.98,8.58,0.35,5.95
2013-03,2.49,2.85,8.47,0.36,5.98
2013-04,2.49,2.85,8.47,0.36,5.98
2013-05,2.79,3.14,8.77,0.35,5.98
2013-06,2.88,3.3,8.94,0.42,6.06
2013-07,2.91,3.35,9.02,0.44,6.11
2013-08,2.89,3.27,8.97,0.38,6.08
2013-09,2.81,3.24,8.94,0.43,6.13
2013-10,2.824,3.249,8.95,0.425,6.126
2013-11,3.0,3.417,9.12,0.417,6.12
2013-12,2.858,3.286,8.981,0.428,6.123
2014-01,2.884,3.309,9.013,0.425,6.129
2014-02,2.858,3.285,8.974,0.427,6.116
2014-03,2.87,3.3,8.995,0.43,6.125
2014-04,2.875,3.3,8.992,0.425,6.117
2014-05,2.814,3.239,8.933,0.425,6.119
2014-06,2.69,3.109,8.8,0.419,6.11
2014-07,2.522,2.928,8.634,0.406,6.112
2014-08,2.513,2.886,8.622,0.373,6.109
2014-09,2.315,2.7,8.449,0.385,6.134
2014-10,2.184,2.523,8.286,0.339,6.102
2014-11,2.088,2.4,8.205,0.312,6.117
2014-12,2.098,2.435,8.281,0.337,6.183
2015-01,1.999,2.297,8.16,0.298,6.161
2015-02,2.045,2.308,8.21,0.263,6.165
2015-03,1.727,1.999,7.895,0.272,6.168
2015-04,1.817,2.055,7.965,0.238,6.148
2015-05,1.761,2.023,7.93,0.262,6.169
2015-06,1.79,2.006,7.916,0.216,6.126
2015-07,1.741,1.984,7.907,0.243,6.166
2015-08,1.735,1.992,7.924,0.257,6.189
2015-09,1.593,1.911,7.836,0.318,6.243
2015-10,1.662,2.007,7.948,0.345,6.286
2015-11,1.791,2.173,8.121,0.382,6.33
2015-12,1.662,2.113,8.057,0.451,6.395
2016-01,1.63,2.097,8.044,0.467,6.414
2016-02,1.452,1.938,7.892,0.486,6.44
2016-03,1.457,1.942,7.925,0.485,6.468
2016-04,1.454,1.914,7.928,0.46,6.474
2016-05,1.491,1.941,7.978,0.45,6.487
2016-06,1.246,1.686,7.746,0.44,6.5
2016-07,1.204,1.631,7.71,0.427,6.506
2016-08,1.306,1.689,7.777,0.383,6.471
2016-09,1.262,1.676,7.757,0.414,6.495
2016-10,1.446,1.859,7.958,0.413,6.512
2016-11,1.696,2.14,8.249,0.444,6.553
2016-12,1.638,2.128,8.265,0.49,6.627
2017-01,1.692,2.15,8.349,0.458,6.657
2017-02,1.675,2.14,8.344,0.465,6.669
2017-03,1.656,2.182,8.388,0.526,6.732
2017-04,1.673,2.199,8.419,0.526,6.746
2017-05,1.657,2.187,8.417,0.53,6.76
2017-06,1.691,2.236,8.475,0.545,6.784
2017-07,1.725,2.26,8.5,0.535,6.775
2017-08,1.751,2.306,8.551,0.555,6.8
2017-09,1.887,2.43,8.673,0.543,6.786
2017-10,2.155,2.718,8.966,0.563,6.811
2017-11,2.082,2.639,8.894,0.557,6.812
2017-12,2.135,2.678,8.942,0.543,6.807
2018-01,2.275,2.811,9.05,0.536,6.775
2018-02,2.281,2.828,9.056,0.547,6.775
2018-03,2.224,2.8,9.016,0.576,6.792
2018-04,2.208,2.811,9.031,0.603,6.823
2018-05,2.189,2.814,9.027,0.625,6.838
2018-06,2.113,2.76,8.97,0.647,6.857
2018-07,2.136,2.795,8.996,0.659,6.86
2018-08,1.946,2.466,8.555,0.52,6.609
2018-09,2.028,2.464,8.531,0.436,6.503
2018-10,1.925,2.38,8.431,0.455,6.506
2018-11,1.905,2.372,8.429,0.467,6.524
2018-12,1.817,2.287,8.358,0.47,6.541
2019-01,1.812,2.259,8.342,0.447,6.53
