# 메모리 반도체 수출물가지수 · 한국은행 ECOS 402Y016 · **달러 기준**(환율 영향 제외) · 2020=100
# ⚠ 트렌드포스의 «가격»과 다르다 — 이것은 지수이고 통관 기준이라 한 달 늦다
# 검량 계약통화기준과 절대 편차 중앙 1.241%
연월,DRAM,플래시메모리,시스템반도체,DRAM_계약통화
201511,146.68,134.53,128.99,146.68
201512,146.34,131.46,128.99,146.34
201601,145.41,127.24,128.99,145.41
201602,140.42,122.44,128.99,140.42
201603,137.95,119.01,128.99,137.95
201604,127.46,112.75,127.37,127.46
201605,123.92,110.39,127.37,123.92
201606,122.21,110.16,127.37,122.21
201607,121.80,112.59,126.12,121.80
201608,124.46,120.95,126.12,124.46
201609,125.84,124.49,123.44,125.84
201610,137.81,127.32,119.81,137.81
201611,144.57,139.58,109.67,144.57
201612,145.35,141.65,108.87,145.35
201701,148.11,151.34,108.87,148.11
201702,169.78,161.74,108.87,169.78
201703,170.52,168.63,108.87,170.52
201704,180.42,184.03,108.87,180.42
201705,180.56,185.41,108.87,180.56
201706,180.72,189.30,104.59,180.72
201707,185.69,194.70,104.77,185.69
201708,186.14,194.50,104.77,186.14
201709,186.23,194.50,104.77,186.23
201710,203.17,195.92,104.10,203.17
201711,205.74,195.92,101.65,205.74
201712,205.98,191.43,101.65,205.98
201801,218.91,182.73,100.47,218.91
201802,218.99,177.05,100.29,218.99
201803,219.06,169.53,100.29,219.06
201804,220.92,161.18,100.29,220.92
201805,221.02,154.22,100.29,221.02
201806,221.02,146.77,99.87,221.02
201807,221.65,137.16,100.04,221.65
201808,221.65,132.84,99.06,221.65
201809,220.83,127.59,99.06,220.83
201810,208.46,116.91,99.42,208.46
201811,204.78,112.07,99.33,204.78
201812,203.92,104.82,98.85,203.92
201901,173.75,99.31,98.19,173.75
201902,161.72,96.89,98.36,161.72
201903,152.29,92.12,98.28,152.29
201904,136.04,91.30,98.28,136.04
201905,130.56,86.68,98.11,130.56
201906,124.46,84.67,98.19,124.46
201907,107.12,89.46,98.02,107.12
201908,106.73,93.44,98.02,106.73
201909,106.73,93.59,98.02,106.73
201910,100.17,93.73,97.86,100.17
201911,99.92,93.73,97.86,99.92
201912,99.74,93.87,97.92,99.74
202001,98.19,99.47,97.83,98.19
202002,98.42,107.38,97.98,98.42
202003,99.28,109.79,98.38,99.28
202004,106.21,109.79,102.96,106.21
202005,106.34,108.00,100.42,106.34
202006,106.34,104.24,100.42,106.34
202007,100.42,99.76,100.42,100.42
202008,100.42,95.94,100.01,100.42
202009,100.42,94.90,100.51,100.42
202010,94.65,92.29,100.51,94.65
202011,94.65,90.12,100.27,94.65
202012,94.65,88.30,100.27,94.65
202101,97.80,88.84,101.20,97.80
202102,97.94,89.19,101.20,97.94
202103,97.94,91.89,100.72,97.94
202104,115.45,95.70,108.67,115.45
202105,115.45,96.11,108.67,115.45
202106,115.45,101.37,108.67,115.45
202107,123.00,103.52,107.19,123.00
202108,123.00,101.55,106.09,123.00
202109,123.00,100.19,108.56,123.00
202110,116.01,95.41,108.50,116.01
202111,116.01,95.00,108.50,116.01
202112,116.01,92.06,110.64,116.01
202201,103.39,92.08,108.83,103.39
202202,103.39,98.13,107.26,103.39
202203,103.39,98.02,107.54,103.39
202204,102.71,98.28,106.47,102.71
202205,102.14,96.37,103.02,102.14
202206,101.67,90.95,102.64,101.67
202207,90.59,84.89,101.74,90.59
202208,90.31,80.39,100.35,90.31
202209,87.77,70.93,99.26,87.77
202210,71.77,65.29,99.02,71.77
202211,71.77,60.64,96.69,71.77
202212,70.92,56.48,96.36,70.92
202301,61.81,55.85,95.22,61.81
202302,60.59,51.13,90.23,60.59
202303,60.18,47.67,88.75,60.18
202304,50.94,44.34,87.23,50.94
202305,50.86,43.69,87.72,50.86
202306,50.06,43.69,86.54,50.06
202307,49.53,43.43,85.11,49.53
202308,49.51,43.43,85.09,49.51
202309,49.51,45.24,84.95,49.51
202310,53.57,55.46,83.32,53.57
202311,54.25,65.52,83.32,54.25
202312,55.27,73.58,83.32,55.27
202401,63.36,76.30,95.97,63.36
202402,64.22,81.06,96.48,64.22
202403,64.83,87.66,96.48,64.83
202404,73.25,95.02,88.89,73.25
202405,73.32,96.87,88.98,73.32
202406,73.61,98.36,86.90,73.61
202407,77.96,98.36,85.80,77.96
202408,77.86,98.36,85.80,77.86
202409,76.63,98.36,85.80,76.63
202410,75.26,83.03,85.80,75.26
202411,74.03,78.58,85.80,74.03
202412,73.99,67.52,85.80,73.99
202501,72.77,58.61,85.80,72.77
202502,70.70,56.47,85.80,70.70
202503,71.44,59.44,85.80,71.44
202504,72.36,66.37,85.80,72.36
202505,74.63,68.51,85.80,74.63
202506,74.72,68.51,85.63,74.72
202507,80.81,71.42,85.63,80.81
202508,80.98,71.42,85.63,80.98
202509,83.16,71.42,85.46,83.16
202510,97.30,98.60,85.40,97.30
202511,109.03,108.00,85.40,109.03
202512,111.22,113.78,85.01,111.22
202601,147.44,126.00,84.94,147.44
202602,157.62,134.65,84.94,157.62
202603,187.19,173.03,84.94,187.19
202604,233.82,173.58,84.94,233.82
202605,251.21,207.11,84.93,251.21
202606,252.74,225.71,88.03,252.74
202607,274.79,228.29,88.03,274.79
