# 코스피 지수 일별 OHLC · 소스 FinanceDataReader · KS11 · 2026-09-05
일자,시가,고가,저가,종가,거래량
20121129,1922.86,1935.1,1922.51,1934.85,388790808.0
20121130,1932.71,1941.84,1927.98,1932.9,337273430.0
20121203,1937.28,1944.75,1933.67,1940.02,314887840.0
20121204,1932.66,1938.28,1928.09,1935.18,294802345.0
20121205,1933.45,1949.7,1930.15,1947.04,492575738.0
20121206,1948.55,1955.07,1946.03,1949.62,345316898.0
20121207,1953.17,1963.06,1952.83,1957.45,413445620.0
20121210,1965.71,1970.19,1955.39,1957.42,367565990.0
20121211,1962.52,1965.68,1956.75,1964.62,404827646.0
20121212,1972.33,1975.44,1966.91,1975.44,459714903.0
20121213,1976.18,2002.78,1976.18,2002.77,421459609.0
20121214,1989.42,1999.65,1985.19,1995.04,350496670.0
20121217,1993.18,1999.38,1981.13,1983.07,366677964.0
20121218,1990.72,1993.09,1979.22,1993.09,454272405.0
20121220,2002.11,2006.08,1991.81,1999.5,421933933.0
20121221,2004.61,2004.67,1976.09,1980.42,553671000.0
20121224,1984.18,1985.57,1977.0,1981.82,348173088.0
20121226,1992.1,2000.92,1982.25,1982.25,457994284.0
20121227,1979.46,1987.91,1971.53,1987.35,376071410.0
20121228,1984.84,2002.67,1984.84,1997.05,302926694.0
20130102,2013.74,2033.66,2012.3,2031.1,364079632.0
20130103,2041.24,2042.48,2018.49,2019.41,491014395.0
20130104,2017.88,2018.63,2001.53,2011.94,378862125.0
20130107,2012.15,2014.0,1996.47,2011.25,536219513.0
20130108,2003.22,2009.99,1997.91,1997.94,493727780.0
20130109,2001.98,2007.72,1989.48,1991.81,607580599.0
20130110,1993.87,2008.47,1988.04,2006.8,500778426.0
20130111,2017.38,2017.92,1984.16,1996.67,472562527.0
20130114,1993.82,2007.04,1989.24,2007.04,454751042.0
20130115,2006.89,2016.37,1983.74,1983.74,546219733.0
20130116,1988.44,1996.46,1970.01,1977.45,457617730.0
20130117,1983.67,1986.34,1964.62,1974.27,828725723.0
20130118,1987.65,1988.47,1976.72,1987.85,583334985.0
20130121,1987.96,1991.98,1972.64,1986.86,446596920.0
20130122,1986.58,1999.35,1981.88,1996.52,553441612.0
20130123,2003.37,2008.06,1980.41,1980.41,491355638.0
20130124,1970.85,1980.03,1960.75,1964.48,558392476.0
20130125,1966.4,1966.83,1934.89,1946.69,401830536.0
20130128,1940.33,1943.49,1930.37,1939.71,349465884.0
20130129,1946.11,1958.88,1944.81,1955.96,465008308.0
20130130,1961.92,1967.29,1950.67,1964.43,523257921.0
20130131,1960.78,1965.92,1954.53,1961.94,399576329.0
20130201,1964.75,1966.54,1942.44,1957.79,385886282.0
20130204,1968.95,1969.13,1952.83,1953.21,345360521.0
20130205,1936.92,1944.0,1928.75,1938.18,366687184.0
20130206,1943.33,1944.44,1935.44,1936.19,349220979.0
20130207,1939.42,1946.67,1931.1,1931.77,412163177.0
20130208,1930.0,1955.86,1929.81,1950.9,291212136.0
20130212,1958.46,1958.65,1943.63,1945.79,307482789.0
20130213,1952.86,1976.07,1950.58,1976.07,331012953.0
20130214,1977.42,1986.14,1972.8,1979.61,336033361.0
20130215,1981.06,1982.76,1976.12,1981.18,598838053.0
20130218,1979.42,1985.41,1973.65,1981.91,420692573.0
20130219,1981.96,1990.09,1979.85,1985.83,344264401.0
20130220,1997.04,2024.64,1995.31,2024.64,407731118.0
20130221,2014.5,2021.24,2010.91,2015.22,391185503.0
20130222,2007.34,2029.44,2006.59,2018.89,409122425.0
20130225,2022.51,2022.77,2008.78,2009.52,338228868.0
20130226,1993.12,2005.86,1991.96,2000.01,433409581.0
20130227,2008.94,2014.96,1999.65,2004.04,417073887.0
20130228,2019.05,2030.85,2016.15,2026.49,421957672.0
20130304,2028.55,2029.32,2011.09,2013.15,357436047.0
20130305,2022.41,2031.65,2016.6,2016.61,491944570.0
20130306,2033.17,2033.89,2016.65,2020.74,395368725.0
20130307,2018.63,2018.63,1998.29,2004.4,386477170.0
20130308,2001.97,2007.37,1994.25,2006.01,312058280.0
20130311,2000.57,2006.3,1982.38,2003.35,398284061.0
20130312,2006.84,2007.44,1990.17,1993.34,390221764.0
20130313,1994.79,1999.73,1988.19,1999.73,353043107.0
20130314,2000.07,2002.13,1978.57,2002.13,330920842.0
20130315,2009.71,2009.71,1985.91,1986.5,307400160.0
20130318,1974.71,1982.92,1968.18,1968.18,304266420.0
20130319,1978.41,1989.46,1973.23,1978.56,326790099.0
20130320,1969.19,1978.17,1959.4,1959.41,332896095.0
20130321,1969.3,1973.26,1950.82,1950.82,262864640.0
20130322,1949.03,1956.33,1946.05,1948.71,259616566.0
20130325,1968.85,1981.75,1968.14,1977.67,276299599.0
20130326,1976.81,1990.23,1975.6,1983.7,298848875.0
20130327,1991.91,1996.56,1973.72,1993.44,362611609.0
20130328,1989.7,1995.31,1985.45,1993.52,367681222.0
20130329,2007.12,2013.21,2003.96,2004.89,341599857.0
20130401,2009.94,2010.15,1994.54,1995.99,269152126.0
20130402,1996.81,2001.78,1973.27,1986.15,496114689.0
20130403,1990.71,1992.4,1972.02,1983.22,396383221.0
20130404,1963.39,1965.19,1938.89,1959.45,415397309.0
20130405,1948.33,1952.1,1916.77,1927.23,372650281.0
20130408,1927.04,1933.95,1918.69,1918.69,313345656.0
20130409,1918.13,1934.74,1901.96,1920.74,356632952.0
20130410,1933.73,1939.19,1923.43,1935.58,320151236.0
20130411,1944.53,1949.8,1926.54,1949.8,386577538.0
20130412,1954.22,1956.21,1919.9,1924.23,407383749.0
20130415,1916.06,1927.72,1907.35,1920.45,332949001.0
20130416,1900.18,1926.65,1896.69,1922.21,393055400.0
20130417,1934.61,1934.82,1910.78,1923.84,415255360.0
20130418,1916.55,1919.53,1900.05,1900.06,343475472.0
20130419,1899.35,1910.24,1888.3,1906.75,331260593.0
20130422,1903.97,1926.31,1901.98,1926.31,258759696.0
20130423,1924.43,1924.79,1908.77,1918.63,260475234.0
20130424,1931.06,1939.35,1921.03,1935.31,341103024.0
20130425,1937.88,1951.66,1935.81,1951.6,334963550.0
20130426,1949.92,1951.86,1942.37,1944.56,280158551.0
20130429,1948.87,1948.97,1934.68,1940.7,266047288.0
20130430,1947.07,1967.06,1946.99,1963.95,403075898.0
20130502,1961.67,1966.68,1954.28,1957.21,349693591.0
20130503,1967.88,1968.04,1953.4,1965.71,312534359.0
20130506,1977.44,1983.64,1960.14,1961.48,294945631.0
20130507,1962.28,1962.87,1951.27,1954.35,299864702.0
20130508,1961.73,1964.08,1952.38,1956.45,337936018.0
20130509,1963.61,1982.32,1961.5,1979.45,332552295.0
20130510,1975.48,1975.48,1944.75,1944.75,283839372.0
20130513,1936.86,1948.7,1935.57,1948.7,251571558.0
20130514,1954.39,1972.5,1954.13,1968.83,328475546.0
20130515,1971.96,1972.44,1963.52,1971.26,246959424.0
20130516,1980.03,1991.98,1980.03,1986.81,322202408.0
20130520,1990.36,1991.27,1982.43,1982.43,274386923.0
20130521,1994.02,1995.1,1976.17,1981.09,245783312.0
20130522,1991.76,1998.7,1987.23,1993.83,326447062.0
20130523,1985.91,1991.35,1969.19,1969.19,342935710.0
20130524,1979.35,1979.93,1961.59,1973.45,273551602.0
20130527,1974.59,1984.13,1971.53,1979.97,256075795.0
20130528,1983.58,1991.2,1978.89,1986.22,311410164.0
20130529,1993.69,2009.43,1992.68,2001.2,362632813.0
20130530,1999.83,2008.23,1997.84,2000.1,435686651.0
20130531,2009.25,2013.29,2000.82,2001.05,397505555.0
20130603,1993.11,2000.56,1989.51,1989.57,333503743.0
20130604,1998.38,1999.73,1979.42,1989.51,334899850.0
20130605,1988.94,1989.29,1959.19,1959.19,340500729.0
20130607,1953.83,1954.82,1923.84,1923.85,341120290.0
20130610,1927.19,1934.92,1923.59,1932.7,271732368.0
20130611,1933.1,1933.34,1910.05,1920.68,288159936.0
20130612,1913.6,1921.54,1907.29,1909.91,253381805.0
20130613,1905.1,1911.04,1881.24,1882.73,306431019.0
20130614,1895.77,1896.6,1881.5,1889.24,279281146.0
20130617,1889.45,1897.7,1878.4,1883.1,264448906.0
20130618,1887.72,1900.63,1872.7,1900.62,278589805.0
20130619,1899.5,1899.5,1883.41,1888.31,279751397.0
20130620,1864.37,1873.18,1844.41,1850.49,355761887.0
20130621,1806.4,1823.99,1806.02,1822.83,290458810.0
20130624,1821.22,1821.22,1798.98,1799.01,220936553.0
20130625,1790.33,1807.62,1770.53,1780.63,332240493.0
20130626,1799.74,1799.74,1772.49,1783.45,296935613.0
20130627,1809.55,1839.52,1809.4,1834.7,286261013.0
20130628,1844.6,1864.09,1844.6,1863.32,251085885.0
20130701,1851.57,1866.63,1850.03,1855.73,220875238.0
20130702,1861.26,1867.18,1850.29,1855.02,483156579.0
20130703,1854.29,1860.46,1823.1,1824.66,405796810.0
20130704,1830.49,1840.38,1825.62,1839.14,313015704.0
20130705,1848.97,1857.39,1828.75,1833.31,285635848.0
20130708,1830.81,1840.57,1809.72,1816.85,303581072.0
20130709,1828.63,1831.35,1815.03,1830.35,257900549.0
20130710,1835.94,1836.91,1818.94,1824.16,267902030.0
20130711,1840.34,1877.6,1840.34,1877.6,331465653.0
20130712,1873.66,1873.66,1863.4,1869.98,265985874.0
20130715,1870.26,1877.46,1847.82,1875.16,330028261.0
20130716,1875.53,1875.68,1860.37,1866.36,303329917.0
20130717,1871.29,1894.7,1856.55,1887.49,382916871.0
20130718,1883.07,1885.01,1870.78,1875.48,380291942.0
20130719,1880.44,1881.4,1861.43,1871.41,319619615.0
20130722,1880.81,1894.41,1873.17,1880.35,356943880.0
20130723,1890.55,1904.15,1885.57,1904.15,352401556.0
20130724,1904.07,1914.41,1901.15,1912.08,322150447.0
20130725,1906.57,1913.91,1904.44,1909.61,311996708.0
20130726,1912.05,1915.97,1902.47,1910.81,320157685.0
20130729,1908.66,1912.57,1899.02,1899.89,337585600.0
20130730,1901.88,1917.11,1900.54,1917.05,366881089.0
20130731,1915.47,1920.6,1910.82,1914.03,384141750.0
20130801,1916.56,1925.32,1906.74,1920.74,336061288.0
20130802,1936.26,1939.28,1920.98,1923.38,298151554.0
20130805,1920.83,1925.6,1915.69,1916.22,233985184.0
20130806,1914.06,1914.06,1895.87,1906.62,294648748.0
20130807,1892.47,1895.5,1878.33,1878.33,312431286.0
20130808,1884.58,1896.07,1879.13,1883.97,338167846.0
20130809,1884.57,1888.79,1876.07,1880.71,283474904.0
20130812,1878.5,1894.42,1878.33,1884.83,297512263.0
20130813,1893.42,1913.03,1890.78,1913.03,362604234.0
20130814,1912.59,1925.1,1908.92,1923.91,363325489.0
20130816,1903.72,1927.59,1901.7,1920.11,348501616.0
20130819,1917.32,1918.71,1909.8,1917.64,302122744.0
20130820,1910.3,1923.42,1885.93,1887.85,350350963.0
20130821,1891.01,1894.74,1863.6,1867.46,411235619.0
20130822,1847.94,1858.5,1838.52,1849.12,425947427.0
20130823,1861.58,1876.14,1854.67,1870.16,374962908.0
20130826,1876.59,1890.38,1876.59,1887.86,316295390.0
20130827,1883.71,1896.63,1881.44,1885.84,409263338.0
20130828,1862.51,1885.35,1861.56,1884.52,378293660.0
20130829,1892.03,1914.9,1891.59,1907.54,301695909.0
20130830,1918.91,1926.37,1910.37,1926.36,300930850.0
20130902,1925.32,1932.46,1921.01,1924.81,243988982.0
20130903,1934.24,1940.99,1928.09,1933.74,300059863.0
20130904,1929.6,1938.26,1921.93,1933.03,284190513.0
20130905,1943.66,1954.21,1937.82,1951.65,286744011.0
20130906,1954.11,1962.15,1949.01,1955.31,324987090.0
20130909,1964.09,1974.67,1962.62,1974.67,270736820.0
20130910,1978.08,1994.06,1974.59,1994.06,264327661.0
20130911,1995.96,2003.85,1987.4,2003.85,299411913.0
20130912,2004.67,2017.48,1995.16,2004.06,359255904.0
20130913,1994.95,2004.87,1992.26,1994.32,253919857.0
20130916,2011.69,2018.02,2004.45,2013.37,248501151.0
20130917,2009.31,2009.31,1994.31,2005.58,264661841.0
20130923,2000.72,2015.18,1994.77,2009.41,249539640.0
20130924,2001.51,2011.11,1990.36,2007.1,309360034.0
20130925,2004.53,2006.88,1988.87,1998.06,294752894.0
20130926,1992.1,2007.32,1991.1,2007.32,255553116.0
20130927,2012.26,2016.34,2008.25,2011.8,282342117.0
20130930,2002.02,2005.41,1994.22,1996.96,292784273.0
20131001,1997.62,2012.52,1991.22,1998.87,281272578.0
20131002,2012.07,2012.82,1999.02,1999.47,238251847.0
20131004,1999.92,2004.65,1985.63,1996.98,241066370.0
20131007,1997.17,2002.61,1991.02,1994.42,249767121.0
20131008,1987.97,2002.78,1981.21,2002.76,329570132.0
20131010,2000.91,2010.0,1997.66,2001.4,222678277.0
20131011,2018.01,2028.11,2012.66,2024.9,254286421.0
20131014,2026.07,2026.79,2019.65,2020.27,220739409.0
20131015,2034.69,2045.5,2033.84,2040.96,233624697.0
20131016,2040.03,2049.5,2033.75,2034.61,267494247.0
20131017,2051.19,2052.44,2035.96,2040.61,306925043.0
20131018,2046.56,2052.4,2041.36,2052.4,257591826.0
20131021,2054.16,2060.18,2047.83,2053.01,281927615.0
20131022,2051.01,2056.12,2045.45,2056.12,378783496.0
20131023,2062.81,2063.28,2035.75,2035.75,367990539.0
20131024,2034.96,2046.69,2027.93,2046.69,254851466.0
20131025,2047.46,2047.46,2023.82,2034.39,234838299.0
20131028,2037.28,2048.14,2030.9,2048.14,257528423.0
20131029,2046.67,2053.78,2039.46,2051.76,307654245.0
20131030,2055.0,2059.58,2043.93,2059.58,263429142.0
20131031,2050.96,2055.59,2030.09,2030.09,254503973.0
20131101,2037.25,2041.23,2030.57,2039.42,294189788.0
20131104,2035.08,2035.84,2022.91,2025.17,235243002.0
20131105,2027.62,2029.6,2010.2,2013.93,257823959.0
20131106,2015.32,2023.52,2011.41,2013.67,273687362.0
20131107,2014.85,2017.55,2000.6,2004.04,310946716.0
20131108,1987.21,1998.59,1984.86,1984.87,287308563.0
20131111,1995.86,1995.86,1973.05,1977.3,286216656.0
20131112,1983.94,2000.41,1983.89,1995.48,247354966.0
20131113,1993.16,1993.16,1963.56,1963.56,251537396.0
20131114,1980.2,1981.89,1963.42,1967.56,323106636.0
20131115,1980.99,2006.31,1980.99,2005.64,264691054.0
20131118,2014.24,2018.17,2009.76,2010.81,313966797.0
20131119,2009.95,2033.91,2009.47,2031.64,402796301.0
20131120,2028.34,2029.61,2010.74,2017.24,334802783.0
20131121,2013.71,2013.71,1985.65,1993.78,292665722.0
20131122,2002.15,2011.2,1992.48,2006.23,350984974.0
20131125,2020.0,2031.11,2015.98,2015.98,295511839.0
20131126,2008.19,2022.66,1998.9,2022.64,275309065.0
20131127,2016.28,2028.81,2010.84,2028.81,284075050.0
20131128,2039.73,2047.66,2037.73,2045.77,276271084.0
20131129,2044.85,2050.7,2038.46,2044.87,245371231.0
20131202,2050.45,2052.88,2029.1,2030.78,229691844.0
20131203,2023.62,2028.07,2008.55,2009.36,294947361.0
20131204,1998.69,2006.71,1986.8,1986.8,230327039.0
20131205,1993.73,1994.32,1971.44,1984.77,217668252.0
20131206,1982.99,1990.55,1980.4,1980.41,201896804.0
20131209,2000.52,2003.97,1997.58,2000.38,230268926.0
20131210,2000.03,2001.33,1989.41,1993.45,200955312.0
20131211,1987.22,2000.15,1972.87,1977.97,231373820.0
20131212,1966.44,1970.51,1958.99,1967.93,255083551.0
20131213,1963.04,1963.81,1947.44,1962.91,234102264.0
20131216,1960.6,1970.25,1956.63,1961.15,213506291.0
20131217,1977.94,1979.62,1962.22,1965.74,253888059.0
20131218,1971.85,1982.42,1966.18,1974.63,258663702.0
20131219,1996.79,1997.02,1969.95,1975.65,255817009.0
20131220,1973.12,1984.44,1972.59,1983.35,247064587.0
